"ROL4","AlternateDialectName","Source","EditName","EditDate"
815,"Malong","GRN / ROD","BM",4/1/2010 0:00:00
815,"Uma' Badeng","GRN / ROD","BM",4/1/2010 0:00:00
816,"Basap","GRN / ROD","BM",4/1/2010 0:00:00
816,"Benuwa","GRN / ROD","BM",4/1/2010 0:00:00
818,"Dessa","GRN / ROD","BM",4/1/2010 0:00:00
820,"Sapu","GRN / ROD","BM",4/1/2010 0:00:00
827,"Leti","GRN / ROD","BM",4/1/2010 0:00:00
830,"Western Standard Bhojpuri","GRN / ROD","BM",4/1/2010 0:00:00
832,"Bishnapria","GRN / ROD","BM",4/1/2010 0:00:00
832,"Bishnapuri","GRN / ROD","BM",4/1/2010 0:00:00
832,"Bishnapuria","GRN / ROD","BM",4/1/2010 0:00:00
832,"Bishnupriya","GRN / ROD","BM",4/1/2010 0:00:00
832,"Bisma Puriya","GRN / ROD","BM",4/1/2010 0:00:00
832,"Kathe","GRN / ROD","BM",4/1/2010 0:00:00
832,"Kathi","GRN / ROD","BM",4/1/2010 0:00:00
155,"Themne","GRN / ROD","BM",4/1/2010 0:00:00
155,"Timnee","GRN / ROD","BM",4/1/2010 0:00:00
158,"Central Yupik","GRN / ROD","BM",4/1/2010 0:00:00
158,"Kuskokwim","GRN / ROD","BM",4/1/2010 0:00:00
158,"Kuskokwim, Upper","GRN / ROD","BM",4/1/2010 0:00:00
158,"West Alaska","GRN / ROD","BM",4/1/2010 0:00:00
158,"West Alaska Eskimo","GRN / ROD","BM",4/1/2010 0:00:00
160,"Eastern Arctic Inuit","GRN / ROD","BM",4/1/2010 0:00:00
160,"Inuit, Eastern Canadian","GRN / ROD","BM",4/1/2010 0:00:00
408,"Tagal Murut","GRN / ROD","BM",4/1/2010 0:00:00
413,"Marovo","GRN / ROD","BM",4/1/2010 0:00:00
415,"Tenasserim","GRN / ROD","BM",4/1/2010 0:00:00
416,"Delta","GRN / ROD","BM",4/1/2010 0:00:00
417,"Iu Mein","GRN / ROD","BM",4/1/2010 0:00:00
417,"Youmai","GRN / ROD","BM",4/1/2010 0:00:00
421,"Henghua","GRN / ROD","BM",4/1/2010 0:00:00
421,"Hinghua","GRN / ROD","BM",4/1/2010 0:00:00
421,"Hsinghua","GRN / ROD","BM",4/1/2010 0:00:00
421,"Putian","GRN / ROD","BM",4/1/2010 0:00:00
421,"Putten","GRN / ROD","BM",4/1/2010 0:00:00
421,"Shing Hwa","GRN / ROD","BM",4/1/2010 0:00:00
421,"Xinghua","GRN / ROD","BM",4/1/2010 0:00:00
429,"Buang Group","GRN / ROD","BM",4/1/2010 0:00:00
429,"Buang, Mapos","GRN / ROD","BM",4/1/2010 0:00:00
429,"Manga","GRN / ROD","BM",4/1/2010 0:00:00
429,"Wagau","GRN / ROD","BM",4/1/2010 0:00:00
433,"Temuan","GRN / ROD","BM",4/1/2010 0:00:00
434,"Vlaamsch","GRN / ROD","BM",4/1/2010 0:00:00
437,"Hote","GRN / ROD","BM",4/1/2010 0:00:00
439,"Nafi","GRN / ROD","BM",4/1/2010 0:00:00
440,"Abalin","GRN / ROD","BM",4/1/2010 0:00:00
440,"Kalabu & Jambitanget","GRN / ROD","BM",4/1/2010 0:00:00
441,"Gedaged","GRN / ROD","BM",4/1/2010 0:00:00
443,"Kapan","GRN / ROD","BM",4/1/2010 0:00:00
445,"Yabem","GRN / ROD","BM",4/1/2010 0:00:00
448,"Achi","GRN / ROD","BM",4/1/2010 0:00:00
448,"Chicaj Achi","GRN / ROD","BM",4/1/2010 0:00:00
448,"Rabinal Achi","GRN / ROD","BM",4/1/2010 0:00:00
448,"S Jeronimo Achi","GRN / ROD","BM",4/1/2010 0:00:00
448,"S Miguel Chicaj Achi","GRN / ROD","BM",4/1/2010 0:00:00
448,"Salama Achi","GRN / ROD","BM",4/1/2010 0:00:00
449,"Horupaga","GRN / ROD","BM",4/1/2010 0:00:00
450,"Akighim","GRN / ROD","BM",4/1/2010 0:00:00
450,"Bogia","GRN / ROD","BM",4/1/2010 0:00:00
451,"Gende","GRN / ROD","BM",4/1/2010 0:00:00
454,"Misima-paneati","GRN / ROD","BM",4/1/2010 0:00:00
455,"Ananggu","GRN / ROD","BM",4/1/2010 0:00:00
455,"Dano","GRN / ROD","BM",4/1/2010 0:00:00
455,"Gamadzi","GRN / ROD","BM",4/1/2010 0:00:00
455,"Gohinge","GRN / ROD","BM",4/1/2010 0:00:00
455,"Gombiha","GRN / ROD","BM",4/1/2010 0:00:00
455,"Kofena","GRN / ROD","BM",4/1/2010 0:00:00
455,"Veleta","GRN / ROD","BM",4/1/2010 0:00:00
457,"Alekano","GRN / ROD","BM",4/1/2010 0:00:00
457,"Gafuku Gama","GRN / ROD","BM",4/1/2010 0:00:00
458,"Siane","GRN / ROD","BM",4/1/2010 0:00:00
459,"Awandi","GRN / ROD","BM",4/1/2010 0:00:00
459,"Famia","GRN / ROD","BM",4/1/2010 0:00:00
459,"Kagu","GRN / ROD","BM",4/1/2010 0:00:00
459,"Kasoru","GRN / ROD","BM",4/1/2010 0:00:00
459,"Miarasa","GRN / ROD","BM",4/1/2010 0:00:00
459,"Okasa","GRN / ROD","BM",4/1/2010 0:00:00
459,"South Dialect","GRN / ROD","BM",4/1/2010 0:00:00
459,"Wanikanto","GRN / ROD","BM",4/1/2010 0:00:00
10,"Dioula","GRN / ROD","BM",4/1/2010 0:00:00
13,"Baihua","GRN / ROD","BM",4/1/2010 0:00:00
13,"Chinese, Yue","GRN / ROD","BM",4/1/2010 0:00:00
13,"Kuangtong","GRN / ROD","BM",4/1/2010 0:00:00
13,"Phúc Kién","GRN / ROD","BM",4/1/2010 0:00:00
13,"Yuehai","GRN / ROD","BM",4/1/2010 0:00:00
14,"Chol","GRN / ROD","BM",4/1/2010 0:00:00
