"PeopleID3","PeopName","Pronunciation","PeopNameSpanish","PeopNameGerman","PeopNamePortuguese","PeopNameFrench","PeopNameIndonesian","PeopNameThai","PeopNameHindi","ROP3_31Dec2009","ROP3","PeopleID2","JPScalePGACOld","JPScalePGAC","PercentChristianPGAC","PercentEvangelicalPGAC","LeastReachedPGAC","ROG3Largest","NbrCountries","PopulationPGAC","ROL3PGAC","RLG3PGAC","RaceCode","OmidCommunityName","OmidNCode","LargeSouthAsianLanguageROL3","Memo","Source","EditName","EditDate"
12482,"Nuristani, Kamviri",,,,,,,,,104545,104545,251,"1.1",1,0.00,0.00,"Y","AF",1,19000,"xvi",6,"CNT24d",,,,,,"TW",10/4/2000 0:00:00
12483,"Kamwe",,,,,,,,,104546,104546,158,"3.2",4,37.86,9.84,,"NI",2,560300,"hig",4,"NAB60b",,,,,,"TW",10/4/2000 0:00:00
12484,"Kanakanabu",,,,,,,,,104550,104550,298,"3.2",5,75.00,30.00,,"TW",1,300,"xnb",1,"AUG01a",,,,"Bunun-speaking",,"TW",10/4/2000 0:00:00
12485,"Kanamari",,"Kanamarí",,,"Kanamari",,,,104554,104554,290,"3.2",5,30.00,12.00,,"BR",1,3000,"knm",4,"MIR39d",,,,,,"TW",10/4/2000 0:00:00
12486,"Kanarese",,"Canarés","Kanaresen",,"Kanarais","Kanar, Canar",,,104555,104555,199,"1.1",1,3.28,0.00,"Y","MY",3,81400,"kan",5,"CNN23a",,,,,,"TW",10/4/2000 0:00:00
12487,"Kinnaura",,,,,,,,"???????",104558,104558,277,"1.1",1,0.16,0.00,"Y","IN",1,79000,"kfk",5,"MSY50r","Kanaura","KINN",,,,"BM",1/3/2001 0:00:00
12488,"Kandas",,,,,,,,,104563,104563,244,"3.2",5,95.00,26.00,,"PP",1,400,"kqw",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
12489,"Kanembu",,,,,,,,,104570,104570,159,"1.1",1,0.00,0.00,"Y","CD",3,763000,"kbl",6,"NAB61",,,,,,"TW",10/4/2000 0:00:00
12490,"Tai Khang",,,,"Tai khang",,,,,104572,104572,239,"1.2",1,0.36,0.10,"Y","LA",2,113000,"kyp",2,"AUG03z",,,,,,"BM",10/4/2000 0:00:00
12491,"Kanga",,,,,,,,,104573,104573,248,"1.2",1,1.00,0.10,"Y","SU",1,16000,"kcp",6,"NAB66h",,,,,,"TW",10/4/2000 0:00:00
12492,"Kango-Tshopo",,,,,,,,,104576,104576,334,"2.2",3,25.00,0.80,,"CG",1,3400,"kzy",4,"NAB57h",,,,,,"TW",10/4/2000 0:00:00
12493,"Kaningi",,,,,,,,,104579,104579,347,"2.2",2,82.00,1.50,,"GB",1,1500,"kzo",1,"NAB57k",,,,,,"TW",10/4/2000 0:00:00
12494,"Kaningra",,,,,,,,,104580,104580,244,"3.2",5,100.00,12.00,,"PP",1,400,"knr",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
12495,"Dayak, Kaninjal",,,,,,,,,104581,104581,155,"3.1",4,44.00,3.00,,"ID",1,38000,"knl",4,"MSY44e",,,,,,"TW",10/4/2000 0:00:00
12496,"Kanite",,,,,,,,,104582,104582,244,"3.2",5,99.00,20.00,,"PP",1,16000,"kmu",1,"AON09b",,,,,,"TW",10/4/2000 0:00:00
12497,"Kankanaey",,,,,,,,,104586,104586,168,"3.2",5,45.00,15.00,,"RP",1,247000,"kne",4,"MSY44x",,,,,,"TW",10/4/2000 0:00:00
12498,"Kankanay, Northern",,"Kankanay, Norte","Kankanay, Nördliche",,"Kankanay du Nord","Kankanay, Utara",,,104587,104587,168,"3.2",4,26.00,8.00,,"RP",1,127000,"xnn",4,"MSY44x",,,,,,"TW",10/4/2000 0:00:00
12499,"Kanoe",,,,,,,,,104589,104589,290,"3.2",4,60.00,10.00,,"BR",1,300,"por",1,"MIR39#",,,,"All speak Portuguese; language extinct",,"TW",10/4/2000 0:00:00
