"ROG5","ROG4","ISO-6","FlashMapID","JSMapIDDistrict","OmidCode","LocalCode","Adm2Name","Adm2Type","Adm2NameHindi","Adm2NameBengali","Population","AreaSqKM","Capital","Longitude","Latitude","FlashMapZoom","FlashMapZoomX","FlashMapZoomY","DisplayFirst","Comment","Source","EditName","EditDate"
"EI2067","EI20",,,,,,"Cuildoo",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2068","EI20",,,,,,"Culnacleha",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2069","EI20",,,,,,"Dalgan",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2070","EI20",,,,,,"Deel",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2071","EI20",,,,,,"Derry",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2072","EI20",,,,,,"Derryloughan",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2073","EI20",,,,,,"Doocastle",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2074","EI20",,,,,,"Dooega",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2075","EI20",,,,,,"Drummin",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2076","EI20",,,,,,"Emlagh",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2077","EI20",,,,,,"Erriff",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2078","EI20",,,,,,"Fortland",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2079","EI20",,,,,,"Garrymore",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2080","EI20",,,,,,"Glenamoy",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2081","EI20",,,,,,"Glencastle",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2082","EI20",,,,,,"Glenco",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2083","EI20",,,,,,"Glenhest",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2084","EI20",,,,,,"Goolamore",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2085","EI20",,,,,,"Hollymount",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2086","EI20",,,,,,"Houndswood",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2087","EI20",,,,,,"Islandeady",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2088","EI20",,,,,,"Kilbeagh",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2089","EI20",,,,,,"Kilcolman",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2090","EI20",,,,,,"Kilcommon",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2091","EI20",,,,,,"Kilfian East",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2092","EI20",,,,,,"Kilfian South",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2093","EI20",,,,,,"Kilfian West",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2094","EI20",,,,,,"Kilgarvan",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2095","EI20",,,,,,"Kilgeever",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2096","EI20",,,,,,"Kilkelly",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2097","EI20",,,,,,"Killala",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2098","EI20",,,,,,"Killavally",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI2099","EI20",,,,,,"Killedan",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI20aa","EI20",,,,,,"Kilmaclasser",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI20ab","EI20",,,,,,"Kilmaine",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI20ac","EI20",,,,,,"Kilmeena",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
"EI20ad","EI20",,,,,,"Kilmovee",,,,,,,,,,,,,,"GMI","BM",6/4/2004 0:00:00
